location,date,new_deaths,new_cases,people_fully_vaccinated,new_vaccinations,RollingVaxxTotal
Africa,2020-01-03,0,0,0,0,0
Africa,2020-01-04,0,0,0,0,0
Africa,2020-01-05,0,0,0,0,0
Africa,2020-01-06,0,0,0,0,0
Africa,2020-01-07,0,0,0,0,0
Africa,2020-01-08,0,0,0,0,0
Africa,2020-01-09,0,0,0,0,0
Africa,2020-01-10,0,0,0,0,0
Africa,2020-01-11,0,0,0,0,0
Africa,2020-01-12,0,0,0,0,0
Africa,2020-01-13,0,0,0,0,0
Africa,2020-01-14,0,0,0,0,0
Africa,2020-01-15,0,0,0,0,0
Africa,2020-01-16,0,0,0,0,0
Africa,2020-01-17,0,0,0,0,0
Africa,2020-01-18,0,0,0,0,0
Africa,2020-01-19,0,0,0,0,0
Africa,2020-01-20,0,0,0,0,0
Africa,2020-01-21,0,0,0,0,0
Africa,2020-01-22,0,0,0,0,0
Africa,2020-01-23,0,0,0,0,0
Africa,2020-01-24,0,0,0,0,0
Africa,2020-01-25,0,0,0,0,0
Africa,2020-01-26,0,0,0,0,0
Africa,2020-01-27,0,0,0,0,0
Africa,2020-01-28,0,0,0,0,0
Africa,2020-01-29,0,0,0,0,0
Africa,2020-01-30,0,0,0,0,0
Africa,2020-01-31,0,0,0,0,0
Africa,2020-02-01,0,0,0,0,0
Africa,2020-02-02,0,0,0,0,0
Africa,2020-02-03,0,0,0,0,0
Africa,2020-02-04,0,0,0,0,0
Africa,2020-02-05,0,0,0,0,0
Africa,2020-02-06,0,0,0,0,0
Africa,2020-02-07,0,0,0,0,0
Africa,2020-02-08,0,0,0,0,0
Africa,2020-02-09,0,0,0,0,0
Africa,2020-02-10,0,0,0,0,0
Africa,2020-02-11,0,0,0,0,0
Africa,2020-02-12,0,0,0,0,0
Africa,2020-02-13,0,0,0,0,0
Africa,2020-02-14,0,0,0,0,0
Africa,2020-02-15,0,0,0,0,0
Africa,2020-02-16,0,1,0,0,0
Africa,2020-02-17,0,0,0,0,0
Africa,2020-02-18,0,0,0,0,0
Africa,2020-02-19,0,0,0,0,0
Africa,2020-02-20,0,0,0,0,0
Africa,2020-02-21,0,0,0,0,0
Africa,2020-02-22,0,0,0,0,0
Africa,2020-02-23,0,0,0,0,0
Africa,2020-02-24,0,0,0,0,0
Africa,2020-02-25,0,0,0,0,0
Africa,2020-02-26,0,1,0,0,0
Africa,2020-02-27,0,0,0,0,0
Africa,2020-02-28,0,0,0,0,0
Africa,2020-02-29,0,1,0,0,0
Africa,2020-03-01,0,0,0,0,0
Africa,2020-03-02,0,1,0,0,0
Africa,2020-03-03,0,5,0,0,0
Africa,2020-03-04,0,5,0,0,0
Africa,2020-03-05,5,12,0,0,0
Africa,2020-03-06,0,4,0,0,0
Africa,2020-03-07,0,14,0,0,0
Africa,2020-03-08,0,36,0,0,0
Africa,2020-03-09,0,4,0,0,0
Africa,2020-03-10,1,14,0,0,0
Africa,2020-03-11,0,12,0,0,0
Africa,2020-03-12,0,26,0,0,0
Africa,2020-03-13,2,49,0,0,0
Africa,2020-03-14,0,54,0,0,0
Africa,2020-03-15,1,75,0,0,0
Africa,2020-03-16,0,77,0,0,0
Africa,2020-03-17,2,95,0,0,0
Africa,2020-03-18,3,110,0,0,0
Africa,2020-03-19,1,117,0,0,0
Africa,2020-03-20,1,193,0,0,0
Africa,2020-03-21,5,218,0,0,0
Africa,2020-03-22,6,213,0,0,0
Africa,2020-03-23,11,320,0,0,0
Africa,2020-03-24,6,389,0,0,0
Africa,2020-03-25,7,400,0,0,0
Africa,2020-03-26,5,489,0,0,0
Africa,2020-03-27,13,666,0,0,0
Africa,2020-03-28,31,654,0,0,0
Africa,2020-03-29,40,311,0,0,0
Africa,2020-03-30,10,541,0,0,0
Africa,2020-03-31,172,554,0,0,0
Africa,2020-04-01,83,554,0,0,0
Africa,2020-04-02,34,583,0,0,0
Africa,2020-04-03,43,854,0,0,0
Africa,2020-04-04,48,861,0,0,0
Africa,2020-04-05,49,736,0,0,0
Africa,2020-04-06,50,711,0,0,0
Africa,2020-04-07,40,742,0,0,0
Africa,2020-04-08,46,818,0,0,0
Africa,2020-04-09,32,681,0,0,0
Africa,2020-04-10,53,790,0,0,0
Africa,2020-04-11,65,781,0,0,0
Africa,2020-04-12,69,818,0,0,0
Africa,2020-04-13,57,723,0,0,0
Africa,2020-04-14,51,834,0,0,0
Africa,2020-04-15,243,897,0,0,0
Africa,2020-04-16,32,955,0,0,0
Africa,2020-04-17,52,1281,0,0,0
Africa,2020-04-18,48,1412,0,0,0
Africa,2020-04-19,59,1137,0,0,0
Africa,2020-04-20,40,1241,0,0,0
Africa,2020-04-21,41,1354,0,0,0
Africa,2020-04-22,36,1193,0,0,0
Africa,2020-04-23,44,1501,0,0,0
Africa,2020-04-24,53,1311,0,0,0
Africa,2020-04-25,36,1448,0,0,0
Africa,2020-04-26,39,1445,0,0,0
Africa,2020-04-27,43,1455,0,0,0
Africa,2020-04-28,50,1221,0,0,0
Africa,2020-04-29,47,1670,0,0,0
Africa,2020-04-30,67,1971,0,0,0
Africa,2020-05-01,49,2491,0,0,0
Africa,2020-05-02,62,1801,0,0,0
Africa,2020-05-03,68,2072,0,0,0
Africa,2020-05-04,36,1848,0,0,0
Africa,2020-05-05,96,2727,0,0,0
Africa,2020-05-06,61,1990,0,0,0
Africa,2020-05-07,51,2023,0,0,0
Africa,2020-05-08,66,2955,0,0,0
Africa,2020-05-09,80,3745,0,0,0
Africa,2020-05-10,63,2795,0,0,0
Africa,2020-05-11,61,3343,0,0,0
Africa,2020-05-12,58,2768,0,0,0
Africa,2020-05-13,62,3187,0,0,0
Africa,2020-05-14,72,2944,0,0,0
Africa,2020-05-15,76,3251,0,0,0
Africa,2020-05-16,61,2579,0,0,0
Africa,2020-05-17,72,3220,0,0,0
Africa,2020-05-18,61,4045,0,0,0
Africa,2020-05-19,66,2904,0,0,0
Africa,2020-05-20,73,3435,0,0,0
Africa,2020-05-21,109,4041,0,0,0
Africa,2020-05-22,81,4440,0,0,0
Africa,2020-05-23,83,4117,0,0,0
Africa,2020-05-24,69,3957,0,0,0
Africa,2020-05-25,103,4403,0,0,0
Africa,2020-05-26,132,3910,0,0,0
Africa,2020-05-27,115,3775,0,0,0
Africa,2020-05-28,88,5251,0,0,0
Africa,2020-05-29,89,4859,0,0,0
Africa,2020-05-30,137,5916,0,0,0
Africa,2020-05-31,145,6147,0,0,0
Africa,2020-06-01,149,5622,0,0,0
Africa,2020-06-02,240,6091,0,0,0
Africa,2020-06-03,248,5035,0,0,0
Africa,2020-06-04,186,5312,0,0,0
Africa,2020-06-05,302,7843,0,0,0
Africa,2020-06-06,271,6480,0,0,0
Africa,2020-06-07,282,6963,0,0,0
Africa,2020-06-08,187,5643,0,0,0
Africa,2020-06-09,206,6910,0,0,0
Africa,2020-06-10,259,6948,0,0,0
Africa,2020-06-11,177,6493,0,0,0
Africa,2020-06-12,236,7666,0,0,0
Africa,2020-06-13,270,8412,0,0,0
Africa,2020-06-14,208,9168,0,0,0
Africa,2020-06-15,215,8710,0,0,0
Africa,2020-06-16,303,8736,0,0,0
Africa,2020-06-17,319,7251,0,0,0
Africa,2020-06-18,237,9141,0,0,0
Africa,2020-06-19,349,9507,0,0,0
Africa,2020-06-20,382,9298,0,0,0
Africa,2020-06-21,318,10747,0,0,0
Africa,2020-06-22,393,9223,0,0,0
Africa,2020-06-23,240,9387,0,0,0
Africa,2020-06-24,281,9278,0,0,0
Africa,2020-06-25,375,11568,0,0,0
Africa,2020-06-26,281,12072,0,0,0
Africa,2020-06-27,292,11798,0,0,0
Africa,2020-06-28,332,13069,0,0,0
Africa,2020-06-29,295,11096,0,0,0
Africa,2020-06-30,294,10798,0,0,0
Africa,2020-07-01,337,11725,0,0,0
Africa,2020-07-02,224,14264,0,0,0
Africa,2020-07-03,225,14415,0,0,0
Africa,2020-07-04,257,15110,0,0,0
Africa,2020-07-05,199,16662,0,0,0
Africa,2020-07-06,273,14181,0,0,0
Africa,2020-07-07,397,14416,0,0,0
Africa,2020-07-08,316,14267,0,0,0
Africa,2020-07-09,247,14077,0,0,0
Africa,2020-07-10,253,18594,0,0,0
Africa,2020-07-11,273,18013,0,0,0
Africa,2020-07-12,245,18772,0,0,0
Africa,2020-07-13,272,16826,0,0,0
Africa,2020-07-14,241,16226,0,0,0
Africa,2020-07-15,301,16140,0,0,0
Africa,2020-07-16,261,18460,0,0,0
Africa,2020-07-17,342,19570,0,0,0
Africa,2020-07-18,255,19203,0,0,0
Africa,2020-07-19,283,19439,0,0,0
