Location,Population,TotalCases,InfectionRate,DeathCount,TotalVaccinated,TotalFullyVaccinated
Afghanistan,41128772,224419,0.55,7938,9066437,9963368
Albania,2842318,334090,11.75,3604,998130,998326
Algeria,44903228,271852,0.61,6881,7840131,724812
American Samoa,44295,8341,18.83,34,0,0
Andorra,79843,48015,60.14,159,9781,8303
Angola,35588996,105384,0.3,1934,9999633,983587
Anguilla,15877,3904,24.59,12,9911,9955
Antigua and Barbuda,93772,9106,9.71,146,64290,9250
Argentina,45510324,10044957,22.07,130472,9786531,985515
Armenia,2780472,449293,16.16,8751,999891,996804
Aruba,106459,44224,41.54,292,90469,84333
Australia,26177410,11560270,44.16,22482,993668,9853616
Austria,8939617,6081287,68.03,22534,845268,890789
Azerbaijan,10358078,832036,8.03,10293,996400,992847
Bahamas,409989,38084,9.29,844,91967,88265
Bahrain,1472237,696614,47.32,1536,998504,996404
Bangladesh,171186368,2044861,1.19,29475,9715105,96671169
Barbados,281646,109503,38.88,620,99925,99921
Belarus,9534956,994037,10.43,7118,92000,980867
Belgium,11655923,4802854,41.21,34376,993733,997248
Belize,405285,70782,17.46,688,996,9668
Benin,13352864,28014,0.21,163,774881,9920
Bermuda,64207,18860,29.37,165,8400,8645
Bhutan,782457,62691,8.01,21,85949,99356
Bolivia,12224114,1206420,9.87,22399,9752,9996
Bonaire Sint Eustatius and Saba,27052,11922,44.07,41,5726,16736
Bosnia and Herzegovina,3233530,403053,12.46,16352,943394,846080
Botswana,2630300,330194,12.55,2800,88907,91482
Brazil,215313504,37717062,17.52,704659,99610570,99520881
British Virgin Islands,31332,7305,23.31,64,19466,9398
Brunei,449002,310106,69.07,163,9861,9899
Bulgaria,6781955,1299024,19.15,38397,993887,999878
Burkina Faso,22673764,22056,0.1,396,972376,771895
Burundi,12889583,54234,0.42,15,81,914
Cambodia,16767851,138940,0.83,3056,9961630,9890449
Cameroon,27914542,125090,0.45,1974,88333,903
Canada,38454328,4697504,12.22,53147,997521,985558
Cape Verde,593162,64189,10.82,414,89680,94997
Cayman Islands,68722,31472,45.8,37,9783,8878
Central African Republic,5579148,15367,0.28,113,923553,9901
Chad,17723312,7698,0.04,194,98213,9662
Chile,19603736,5289055,26.98,64497,9844134,9993848
China,1425887360,99300923,6.96,121628,622000000,969720000
Colombia,51874028,6378000,12.3,142961,9736151,9876044
Comoros,836783,9109,1.09,161,84740,588
Congo,5970430,25196,0.42,389,695760,95043
Cook Islands,17032,7218,42.38,2,9755,9578
Costa Rica,5180836,1238883,23.91,9428,9751,899571
Cote d'Ivoire,28160548,88338,0.31,835,990305,978421
Croatia,4030361,1274123,31.61,18286,980177,99027
Cuba,11212198,1115064,9.95,8530,9984120,9999902
Curacao,191173,45883,24,305,99629,99955
Cyprus,896007,660854,73.76,1364,93475,94730
Czechia,10493990,4643190,44.25,42813,985284,993172
