Location,Population,TotalCases,DeathTotal,DeathRate,VaccinatedPopulation,FullyVaccinatedPopulaton
Afghanistan,41128772,224419,7938,3.5371,9066437,9963368
Albania,2842318,334090,3604,1.0788,998130,998326
Algeria,44903228,271852,6881,2.5312,7840131,724812
American Samoa,44295,8341,34,0.4076,0,0
Andorra,79843,48015,159,0.3311,9781,8303
Angola,35588996,105384,1934,1.8352,9999633,983587
Anguilla,15877,3904,12,0.3074,9911,9955
Antigua and Barbuda,93772,9114,146,1.6019,64290,9250
Argentina,45510324,10044957,130472,1.2989,9786531,985515
Armenia,2780472,449293,8751,1.9477,999891,996804
Aruba,106459,44277,292,0.6595,90469,84333
Australia,26177410,11560270,22482,0.1945,993668,9853616
Austria,8939617,6081287,22534,0.3705,845268,890789
Azerbaijan,10358078,832036,10293,1.2371,996400,992847
Bahamas,409989,38084,854,2.2424,91967,88265
Bahrain,1472237,696614,1536,0.2205,998504,996404
Bangladesh,171186368,2044861,29481,1.4417,9715105,96671169
Barbados,281646,109503,620,0.5662,99925,99921
Belarus,9534956,994037,7118,0.7161,92000,980867
Belgium,11655923,4802854,34376,0.7157,993733,997248
Belize,405285,70830,689,0.9728,996,9668
Benin,13352864,28014,163,0.5819,774881,9920
Bermuda,64207,18860,165,0.8749,8400,8645
Bhutan,782457,62692,21,0.0335,85949,99356
Bolivia,12224114,1206420,22399,1.8567,9752,9996
Bonaire Sint Eustatius and Saba,27052,11922,42,0.3523,5726,16736
Bosnia and Herzegovina,3233530,403053,16352,4.057,943394,846080
Botswana,2630300,330194,2800,0.848,88907,91482
Brazil,215313504,37717635,704659,1.8682,99610570,99520881
British Virgin Islands,31332,7305,64,0.8761,19466,9398
Brunei,449002,310106,163,0.0526,9861,9899
Bulgaria,6781955,1299024,38397,2.9558,993887,999878
Burkina Faso,22673764,22056,396,1.7954,972376,771895
Burundi,12889583,54234,15,0.0277,81,914
Cambodia,16767851,138940,3056,2.1995,9961630,9890449
Cameroon,27914542,125090,1974,1.5781,88333,903
Canada,38454328,4697508,53478,1.1384,997521,985558
Cape Verde,593162,64189,415,0.6465,89680,94997
Cayman Islands,68722,31472,37,0.1176,9783,8878
Central African Republic,5579148,15367,113,0.7353,923553,9901
Chad,17723312,7698,194,2.5201,98213,9662
Chile,19603736,5289055,65134,1.2315,9844134,9993848
China,1425887360,99300923,242586,0.2443,622000000,969720000
Colombia,51874028,6378090,142961,2.2414,9736151,9876044
Comoros,836783,9109,161,1.7675,84740,588
Congo,5970430,25258,389,1.5401,695760,95043
Cook Islands,17032,7243,2,0.0276,9755,9578
Costa Rica,5180836,1238883,9428,0.761,9751,899571
Cote d'Ivoire,28160548,88338,835,0.9452,990305,978421
Croatia,4030361,1274123,18286,1.4352,980177,99027
Cuba,11212198,1115064,8530,0.765,9984120,9999902
Curacao,191173,45884,305,0.6647,99629,99955
Cyprus,896007,660854,1364,0.2064,93475,94730
Czechia,10493990,4643190,42813,0.9221,985284,993172
Democratic Republic of Congo,99010216,97697,1468,1.5026,99839,97680
Denmark,5882259,3414815,8773,0.2569,984197,953195
Djibouti,1120851,15690,189,1.2046,38634,97891
Dominica,72758,15760,74,0.4695,9464,9323
Dominican Republic,11228821,667048,4384,0.6572,993804,976512
Ecuador,18001002,1082032,36042,3.331,99847,9999427
Egypt,110990096,516023,24830,4.8118,9593247,979639
El Salvador,6336393,201785,4230,2.0963,99855,965208
England,56550000,0,0,0,9831897,9692540
Equatorial Guinea,1674916,17232,183,1.062,9748,99605
Eritrea,3684041,10189,103,1.0109,0,0
Estonia,1326064,601746,2900,0.4819,97611,99991
Eswatini,1201680,74882,1427,1.9057,96175,9768
Ethiopia,123379928,500946,7574,1.5119,9493520,43653006
Faeroe Islands,53117,34658,28,0.0808,9641,9863
Falkland Islands,3801,1923,0,0,2632,1775
Fiji,929769,69047,885,1.2817,93000,97268
Finland,5540745,1483390,10087,0.68,993721,99271
France,67813000,38997490,167985,0.4308,9938924,9999057
French Guiana,304568,98041,413,0.4213,0,0
French Polynesia,306292,78717,649,0.8245,96949,9324
Gabon,2388997,48992,307,0.6266,8515,9973
Gambia,2705995,12626,372,2.9463,674314,539186
Georgia,3744385,1848357,17116,0.926,998444,995303
Germany,83369840,38437756,174979,0.4552,9969934,980920
Ghana,33475870,171653,1462,0.8517,9786631,9806758
Gibraltar,32677,20550,113,0.5499,9807,9522
Greece,10384972,5348223,37289,0.6972,997959,986552
Greenland,56494,11971,21,0.1754,9715,9999
Grenada,125459,19693,238,1.2086,9821,985
Guadeloupe,395762,203235,1025,0.5043,0,0
Guam,171783,51786,415,0.8014,0,0
Guatemala,17843914,1271104,20237,1.5921,98402,982296
Guernsey,63329,35326,67,0.1897,6151,8254
Guinea,13859349,38563,468,1.2136,993156,98558
Guinea-Bissau,2105580,9614,177,1.8411,87231,9730
Guyana,808727,73385,1299,1.7701,73000,98635
Haiti,11585003,34301,860,2.5072,97950,99729
Honduras,10432858,474586,11129,2.345,912814,79737
Hong Kong,7488863,0,0,0,989767,986657
Hungary,9967304,2203315,48800,2.2148,981401,9403
Iceland,372903,208814,186,0.0891,98008,98882
India,1417173120,44996813,531918,1.1821,999458254,99893015
Indonesia,275501344,6813099,161916,2.3765,9955433,998439
Iran,88550568,7613070,146316,1.9219,9615913,9684669
Iraq,44496124,2465545,25375,1.0292,9992944,7944775
Ireland,5023108,1715065,9125,0.532,983603,98094
Isle of Man,84534,38008,116,0.3052,9485,9909
Israel,9449000,4831826,12598,0.2607,992314,970933
Italy,59037472,25918253,191053,0.7371,9848226,994567
Jamaica,2827382,155860,3597,2.3078,859266,77025
Japan,123951696,33803572,74708,0.221,99982953,99991170
Jersey,110796,66391,161,0.2425,84365,9129
Jordan,11285875,1746997,14122,0.8084,805020,998765
Kazakhstan,19397998,1502857,19072,1.269,9545315,973873
Kenya,54027484,343918,5689,1.6542,998073,9985687
Kiribati,131237,5082,24,0.4723,99607,8384
